Name,Link,Aliases
Thomas Riddle,/wiki/Thomas_Riddle,"['Thomas', 'Mr. Riddle', 'Thomas Riddle']"
Riddles' maid,/wiki/Riddles%27_maid,"[""Riddles' maid""]"
Riddles' cook,/wiki/Riddles%27_cook,"[""Riddles' cook""]"
Frank Bryce,/wiki/Frank_Bryce,['Frank Bryce']
Landlord of The Hanged Man,/wiki/Landlord_of_The_Hanged_Man,"['Landlord', 'Landlord of The Hanged Man']"
Dot,/wiki/Dot,['Dot']
Little Hangleton,/wiki/Little_Hangleton,['Little Hangleton']
Great Hangleton,/wiki/Great_Hangleton,['Great Hangleton']
Riddle House,/wiki/Riddle_House,"['Riddle', 'Riddle House']"
Little Hangleton boys,/wiki/Little_Hangleton_boys,['Little Hangleton boys']
Nagini,/wiki/Nagini,"['The Snake Girl', 'Nagini']"
Bertha Jorkins,/wiki/Bertha_Jorkins,"['Bertha', 'Bertha Jorkins']"
Smeltings Academy,/wiki/Smeltings_Academy,"['Smeltings', 'Smeltings Academy']"
Little Whinging postman,/wiki/Little_Whinging_postman,['Little Whinging postman']
Barty Crouch Snr,/wiki/Bartemius_Crouch_Senior,"['Barty', 'Barty Crouch Snr']"
Ludo Bagman,/wiki/Ludovic_Bagman,"['Ludo', 'Ludo Bagman']"
Otto Bagman,/wiki/Otto_Bagman,"['Otto', 'Otto Bagman']"
Viktor Krum,/wiki/Viktor_Krum,"['Dumb Krum', 'Bulgarian Bonbon', 'Viktor', 'Krum', 'Viktor Krazy Krum', 'Viktor Krum']"
Amos Diggory,/wiki/Amos_Diggory,"['Amos', 'Mr. Diggory', 'Amos Diggory']"
Lovegood family,/wiki/Lovegood_family,['Lovegood family']
Fawcett family,/wiki/Fawcett_family,['Fawcett family']
Basil,/wiki/Basil,['Basil']
Mr Roberts,/wiki/Roberts,"['Mr. Roberts', 'Mr Roberts']"
Mr Payne,/wiki/Payne,"['Mr. Payne', 'Mr Payne']"
Kevin,/wiki/Kevin,['Kevin']
Kevin's mother,/wiki/Kevin%27s_mother,"[""Kevin's mother""]"
Kevin's father,/wiki/Kevin%27s_father,"[""Kevin's father""]"
Salem Witches Institute,/wiki/Salem_Witches%27_Institute,"['Salem', 'Salem Witches Institute']"
Archie Aymslowe,/wiki/Archie_Aymslowe,"['Archie', 'Archie Aymslowe']"
Mr Wood,/wiki/Oliver_Wood%27s_father,"['Mr. Wood', 'Mr Wood']"
Mrs Wood,/wiki/Oliver_Wood%27s_mother,"['Mrs. Wood', 'Mrs Wood']"
Cuthbert Mockridge,/wiki/Cuthbert_Mockridge,['Cuthbert Mockridge']
Gilbert Wimple,/wiki/Gilbert_Wimple,"['Gilbert', 'Gilbert Wimple']"
Arnold Peasegood,/wiki/Arnold_Peasegood,"['Arnie', 'Arnold', 'Arnold Peasegood']"
Broderick Bode,/wiki/Broderick_Bode,"['Broderick', 'Bode', 'Broderick Bode']"
Saul Croaker,/wiki/Saul_Croaker,"['Saul', 'Croaker', 'Saul Croaker']"
Roddy Pontner,/wiki/Roddy_Pontner,"['Roddy', 'Pontner', 'Roddy Pontner']"
Agatha Timms,/wiki/Agatha_Timms,"['Agatha', 'Agatha Timms']"
Ali Bashir,/wiki/Ali_Bashir,"['Ali', 'Ali Bashir']"
Omnioculars,/wiki/Omnioculars,['Omnioculars']
Winky,/wiki/Winky,"['Blinky', 'Winky']"
Bulgarian Minister for Magic,/wiki/Oblansk,"['Obalonsk', 'Bulgarian', 'Bulgarian Minister for Magic']"
Mungo Bonham,/wiki/Mungo_Bonham,"['Mungo', 'Mungo Bonham']"
Veela,/wiki/Veela,['Veela']
Leprechaun,/wiki/Leprechaun,['Leprechaun']
Vasily Dimitrov,/wiki/Vasily_Dimitrov,"['Dimitrov', 'Vasily', 'Vasily Dimitrov']"
Clara Ivanova,/wiki/Clara_Ivanova,"['Ivanova', 'Clara', 'Clara Ivanova']"
