Name,Link,Aliases
Cuthbert Mockridge,/wiki/Cuthbert_Mockridge,['Cuthbert']
Gilbert Wimple,/wiki/Gilbert_Wimple,['Gilbert']
Arnold Peasegood,/wiki/Arnold_Peasegood,"['Arnie', 'Arnold']"
Broderick Bode,/wiki/Broderick_Bode,"['Broderick', 'Bode']"
Saul Croaker,/wiki/Saul_Croaker,"['Saul', 'Croaker']"
Roddy Pontner,/wiki/Roddy_Pontner,"['Roddy', 'Pontner']"
Agatha Timms,/wiki/Agatha_Timms,['Agatha']
Ali Bashir,/wiki/Ali_Bashir,['Ali']
Omnioculars,/wiki/Omnioculars,[]
Winky,/wiki/Winky,['Blinky']
Bulgarian Minister for Magic,/wiki/Oblansk,"['Obalonsk', 'Bulgarian']"
Mungo Bonham,/wiki/Mungo_Bonham,['Mungo']
Veela,/wiki/Veela,[]
Leprechaun,/wiki/Leprechaun,[]
Vasily Dimitrov,/wiki/Vasily_Dimitrov,"['Dimitrov', 'Vasily']"
Clara Ivanova,/wiki/Clara_Ivanova,"['Ivanova', 'Clara']"
Lev Zograf,/wiki/Lev_Zograf,"['Lev', 'Zograf']"
Alexei Levski,/wiki/Alexei_Levski,"['Alexei', 'Levski']"
Pyotr Vulchanov,/wiki/Pyotr_Vulchanov,"['Pyotr', 'Vulchanov']"
Ivan Volkov,/wiki/Ivan_Volkov,"['Ivan', 'Volkov']"
Connolly,/wiki/Connolly,[]
Barry Ryan,/wiki/Barry_Ryan,"['Ryan', 'Barry']"
Troy,/wiki/Troy,[]
Mullet,/wiki/Mullet,[]
Moran,/wiki/Moran,[]
Quigley,/wiki/Quigley,[]
Aidan Lynch,/wiki/Aidan_Lynch,"['Aidan', 'Lynch']"
Hassan Mostafa,/wiki/Hassan_Mostafa,"['Mostafa', 'Hassan']"
Mrs Roberts,/wiki/Roberts%27s_wife,['Mrs. Roberts']
Roberts children,/wiki/Roberts_children,['Roberts']
Unidentified Beauxbatons girl (I),/wiki/Unidentified_Beauxbatons_students#Beauxbatons_girl_(I),[]
Olympe Maxime,/wiki/Olympe_Maxime,"['Madam Maxime', 'Olympe']"
Wizard who claimed to be a dragon killer,/wiki/Wizard_who_claimed_to_be_a_dragon_killer,['Wizard']
Wizard who claimed to be a vampire hunter,/wiki/Wizard_who_claimed_to_be_a_Vampire_Hunter,['Wizard']
Rita Skeeter,/wiki/Rita_Skeeter,"['Queen of the Quills', 'Rita', 'Skeeter']"
Alastor Moody,/wiki/Alastor_Moody,"['Alastor', 'Mad-Eye']"
Dennis Creevey,/wiki/Dennis_Creevey,['Dennis']
Stewart Ackerley,/wiki/Stewart_Ackerley,['Stewart']
Malcolm Baddock,/wiki/Malcolm_Baddock,['Malcolm']
Eleanor Branstone,/wiki/Eleanor_Branstone,['Eleanor']
Owen Cauldwell,/wiki/Owen_Cauldwell,['Owen']
Emma Dobbs,/wiki/Emma_Dobbs,['Emma']
Laura Madley,/wiki/Laura_Madley,['Laura']
Natalie McDonald,/wiki/Natalie_McDonald,['Natalie']
Graham Pritchard,/wiki/Graham_Pritchard,['Graham']
Orla Quirke,/wiki/Orla_Quirke,['Orla']
Kevin Whitby,/wiki/Kevin_Whitby,['Kevin']
Hogwarts house-elves,/wiki/Hogwarts_house-elves,[]
Barty Crouch Jr,/wiki/Bartemius_Crouch_Junior,"['Master Barty', 'Barty Crouch Jnr', 'Barty', 'Alastor ""Mad-Eye"" Moody']"
Eloise Midgeon,/wiki/Eloise_Midgen,['Eloise']
Blast-Ended Skrewts,/wiki/Blast-Ended_Skrewt,[]
Beauxbatons Academy of Magic,/wiki/Beauxbatons_Academy_of_Magic,['Beauxbatons']
Igor Karkaroff,/wiki/Igor_Karkaroff,"['Karkaroff', 'Igor']"
Poliakoff,/wiki/Poliakoff,[]
Summers,/wiki/Summers,[]
Fleur Delacour,/wiki/Fleur_Delacour,"['Phlegm', 'Fleur']"
Violet,/wiki/Violet,[]
Apolline Delacour's mother,/wiki/Apolline_Delacour%27s_mother,[]
Mykew Gregorovitch,/wiki/Mykew_Gregorovitch,"['Gregorovitch', 'Mykew']"
Unidentified female Hungarian Horntail,/wiki/Unidentified_female_Hungarian_Horntail,[]
Unidentified female Chinese Fireball,/wiki/Unidentified_female_Chinese_Fireball,[]
Unidentified female Common Welsh Green,/wiki/Unidentified_female_Common_Welsh_Green,[]
Winky's mother,/wiki/Winky%27s_mother,[]
Winky's grandmother,/wiki/Winky%27s_grandmother,[]
Unidentified Hufflepuff third year girl,/wiki/Unidentified_Hufflepuff_girl_(III),[]
Weird Sisters,/wiki/Weird_Sisters,[]
Joey Jenkins,/wiki/Joey_Jenkins,['Joey']
Unidentified Beauxbatons boy,/wiki/Unidentified_Beauxbatons_students#Beauxbatons_boy,[]
Fridwulfa,/wiki/Fridwulfa,[]
Rubeus Hagrid's father,/wiki/Rubeus_Hagrid%27s_father,[]
